id,manufacturer,model,max_reslolution,example_image_path,example_jpg_path,example_mpeg_path,wifi,poe,infra_red,notes,example_screenshot
1,Axis,206,640x480,/axis-cgi/jpg/image.cgi?resolution=640x480,/axis-cgi/mjpg/video.cgi?resolution=640x480,blank,None,Unknown,No,Blank,
6,Y-cam,Black,,,,,"802.11g (54mbit)",Unknown,Yes,"Daytime colours are weird, pink grass and trees. ",
7,Axis,211,640x480,"/axis-cgi/jpg/image.cgi?resolution=640x480    ",/axis-cgi/mjpg/video.cgi?resolution=640x480,,None,Unknown,No,"A good camera with auto iris.",
8,Axis,206,640x480,"/axis-cgi/jpg/image.cgi?resolution=640x480 ",/axis-cgi/mjpg/video.cgi?resolution=640x480,,No,Unknown,Yes,,
15,Y-cam,White,640x480,,,,None,Unknown,Yes,,
16,Gadspot,Gs9603,640x480,/Jpeg/CamImg.jpg,,,None,Unknown,No,"These urls probably work for many other gadspots too",
17,Axis,207mw,640x480,/axis-cgi/jpg/image.cgi?resolution=640x480,,,"802.11g (54mbit)",Unknown,No,,
18,Axis,207w,640x480,/axis-cgi/jpg/image.cgi?resolution=640x480,,,"802.11g (54mbit)",Unknown,No,,
19,Panasonic,Bb-hcm531,640x480,/SnapshotJPEG?Resolution=640x480&Quality=Standard,,,None,Unknown,No,,
20,Panasonic,Bl-c101,640x480,/SnapshotJPEG?Resolution=640x480&Quality=Standard,,,None,Unknown,Yes,,
21,Compro,Ip70,640x480,,,/medias2,"802.11g (54mbit)",Unknown,Yes,"A well built camera that suffers from poor compatibility. 
The mjpeg feed is a javascript wrapper around a static jpg image using random urls to increment. Not compatible.

That said, the rtsp mpeg4 stream does work with zoneminder",
22,Dealextreme,"Ip camera",640x480,/image.jpg,,,None,Unknown,Yes,"Chinese unbranded IP Camera with IR sold by dealextreme.com. Superb value at 38euros (50$usd)

Provides reliable and reasonable quality vga jpg.

Sourced from: 
http://www.dealextreme.com/p/ip-400-standalone-security-surveillance-ip-network-camera-with-night-vision-15974

Settings may work for other generic chinese cams as they are known to share firmware.",
23,Linksys,"Wvc54g ",640x480,,,/img/video.asf,"802.11g (54mbit)",Unknown,No,"Poorly featured but reliable ip camera. MPEG method seems the only reliable one. Wifi surprisingly good.

(Have had a report this doesnt work. It did for my camera, so I can only assume not all WVC54Gs are equal)",
24,Abus,Tvip11550,640x480,,,:554/video.mp4,Unsure,Unknown,No,,
25,"Airlink 101",Aic250w,640x480,,/video.cgi,,Unsure,Unknown,No,,
26,D-link,Dcs-900w,640x480,,/video.cgi,,Unsure,Unknown,No,,
27,"Trendnet ",Ip-200,640x480,,/video.cgi,,Unsure,Unknown,No,,
28,Astak,Mole,320x240,/tmpfs/auto.jpg,,,Unsure,Unknown,No,,
29,Brickcom,Wcb-100a,640x480,,/channel2,/channel1,"802.11g (54mbit)",Unknown,No,,
30,Bsti,Pd100hv2,640x480,,/videostream.cgi&resolution=32,,Unsure,Unknown,Yes,"More detailed info at http://www.zoneminder.com/wiki/index.php/Foscam",
31,Cisco,Wvc80n,640x480,,/img/video.mpjeg,/img/video.asf,Unsure,Unknown,No,,
32,Foscam,Fi8908w,640x480,/snapshot.cgi,"/videostream.cgi?user=admin&pwd= &resolution=32",,Unsure,Unknown,No,,
33,Vivotek,Ip7131,640x480,/cgi-bin/video.jpg,,,Unsure,Unknown,No,"Note! 
You can also get 640x480 using RTSP, not http in Source tab, with the path o  live.sdp  and set port to 554

More info at http://www.zoneminder.com/wiki/index.php/Vivotek",
